artifact_id,task,model_name,dataset_path,nsize,fgsm,n_calibration,classif_loss,dloss,prototypes,npos,nneg,prototype_strategy,prototype_components,normalize,dist_fct,n_neighbors,model_dir,model_path,prototypes_path,train_encodings_path,valid_encodings_path,test_encodings_path,run_log_path,is_best,notes,mcc,valid_mcc,train_mcc,test_mcc,all_mcc,valid_accuracy,train_auc,valid_auc,test_auc,all_auc,ece,brier,best_head_config,best_head_name,best_head_family,best_head_n_aug,head_config,head_name,head_family,head_n_aug,train_datasets,valid_dataset,test_dataset,split_config_key
8b3353b190a9,notNormal,resnet18,otite_ds_64/USA_Turquie_Chili_GMFUNL,224,0,0,hinge,no,no,1,1,mean,1,no,none,0,logs/best_models/notNormal/resnet18/otite_ds_64/USA_Turquie_Chili_GMFUNL/nsize224/fgsm0/ncal0/hinge/no/prototypes_no/npos1/nneg1/protoagg_mean_1/normno/dist_none/knn0,logs/best_models/notNormal/resnet18/otite_ds_64/USA_Turquie_Chili_GMFUNL/nsize224/fgsm0/ncal0/hinge/no/prototypes_no/npos1/nneg1/protoagg_mean_1/normno/dist_none/knn0/model.pth,logs/best_models/notNormal/resnet18/otite_ds_64/USA_Turquie_Chili_GMFUNL/nsize224/fgsm0/ncal0/hinge/no/prototypes_no/npos1/nneg1/protoagg_mean_1/normno/dist_none/knn0/prototypes.pkl,logs/best_models/notNormal/resnet18/otite_ds_64/USA_Turquie_Chili_GMFUNL/nsize224/fgsm0/ncal0/hinge/no/prototypes_no/npos1/nneg1/protoagg_mean_1/normno/dist_none/knn0/train_encodings.npz,logs/best_models/notNormal/resnet18/otite_ds_64/USA_Turquie_Chili_GMFUNL/nsize224/fgsm0/ncal0/hinge/no/prototypes_no/npos1/nneg1/protoagg_mean_1/normno/dist_none/knn0/valid_encodings.npz,logs/best_models/notNormal/resnet18/otite_ds_64/USA_Turquie_Chili_GMFUNL/nsize224/fgsm0/ncal0/hinge/no/prototypes_no/npos1/nneg1/protoagg_mean_1/normno/dist_none/knn0/test_encodings.npz,logs/notNormal/5a2bd590-223e-4367-8936-73b2c20e496f,yes,,0.6506816427610672,0.6506816427610672,0.7837004025420604,0.6586227873305105,0.7590738697099844,0.7431818181818182,0.9766121356484289,0.9368434343434343,0.9433631772268135,0.9657268031355151,0.06464646464646463,0.38741582491582494,18,KNN (k=18),knn,2,18,KNN (k=18),knn,2,"Banque_Calaman_USA_2020_trie_CM,Banque_Comert_Turquie_2020_jpg,GMFUNL_jan2023",Banque_Viscaino_Chili_2020,Banque_Viscaino_Chili_2020,"Banque_Calaman_USA_2020_trie_CM,Banque_Comert_Turquie_2020_jpg,GMFUNL_jan2023|Banque_Viscaino_Chili_2020|Banque_Viscaino_Chili_2020"
4cc1f9fd2e4a,otitis_four_class,resnet18,otite_ds_64/USA_Turquie_Chili_GMFUNL_inference,224,0,0,arcface,inverseTriplet,batch,1,1,mean,1,yes,cosine,2,logs/best_models/otitis_four_class/resnet18/otite_ds_64/USA_Turquie_Chili_GMFUNL_inference/nsize224/fgsm0/ncal0/arcface/inverseTriplet/prototypes_batch/npos1/nneg1/protoagg_mean_1/normyes/dist_cosine/knn2,logs/best_models/otitis_four_class/resnet18/otite_ds_64/USA_Turquie_Chili_GMFUNL_inference/nsize224/fgsm0/ncal0/arcface/inverseTriplet/prototypes_batch/npos1/nneg1/protoagg_mean_1/normyes/dist_cosine/knn2/model.pth,logs/best_models/otitis_four_class/resnet18/otite_ds_64/USA_Turquie_Chili_GMFUNL_inference/nsize224/fgsm0/ncal0/arcface/inverseTriplet/prototypes_batch/npos1/nneg1/protoagg_mean_1/normyes/dist_cosine/knn2/prototypes.pkl,logs/best_models/otitis_four_class/resnet18/otite_ds_64/USA_Turquie_Chili_GMFUNL_inference/nsize224/fgsm0/ncal0/arcface/inverseTriplet/prototypes_batch/npos1/nneg1/protoagg_mean_1/normyes/dist_cosine/knn2/train_encodings.npz,logs/best_models/otitis_four_class/resnet18/otite_ds_64/USA_Turquie_Chili_GMFUNL_inference/nsize224/fgsm0/ncal0/arcface/inverseTriplet/prototypes_batch/npos1/nneg1/protoagg_mean_1/normyes/dist_cosine/knn2/valid_encodings.npz,logs/best_models/otitis_four_class/resnet18/otite_ds_64/USA_Turquie_Chili_GMFUNL_inference/nsize224/fgsm0/ncal0/arcface/inverseTriplet/prototypes_batch/npos1/nneg1/protoagg_mean_1/normyes/dist_cosine/knn2/test_encodings.npz,logs/otitis_four_class/99cdf494-b004-4efb-83df-9c072eedd5c3,yes,,0.7241176770083,0.7241176770083,0.8283788433831744,0.6741864275928342,0.7771104080210083,0.8022727272727272,0.9462177190283079,0.9044421487603306,0.8793721303948576,0.9396268911353425,0.19789352434987934,0.395321375739314,baseline_naive_bayes,Naive Bayes,naive_bayes,0,baseline_naive_bayes,Naive Bayes,naive_bayes,0,"Banque_Calaman_USA_2020_trie_CM,Banque_Comert_Turquie_2020_jpg,GMFUNL_jan2023",Banque_Viscaino_Chili_2020,Banque_Viscaino_Chili_2020,"Banque_Calaman_USA_2020_trie_CM,Banque_Comert_Turquie_2020_jpg,GMFUNL_jan2023|Banque_Viscaino_Chili_2020|Banque_Viscaino_Chili_2020"
fd3015ccd291,otitis_four_class,resnet18,otite_ds_64/USA_Turquie_Chili_GMFUNL_inference,224,0,0,arcface,inverseTriplet,class,1,1,mean,1,yes,cosine,2,logs/best_models/otitis_four_class/resnet18/otite_ds_64/USA_Turquie_Chili_GMFUNL_inference/nsize224/fgsm0/ncal0/arcface/inverseTriplet/prototypes_class/npos1/nneg1/protoagg_mean_1/normyes/dist_cosine/knn2,logs/best_models/otitis_four_class/resnet18/otite_ds_64/USA_Turquie_Chili_GMFUNL_inference/nsize224/fgsm0/ncal0/arcface/inverseTriplet/prototypes_class/npos1/nneg1/protoagg_mean_1/normyes/dist_cosine/knn2/model.pth,logs/best_models/otitis_four_class/resnet18/otite_ds_64/USA_Turquie_Chili_GMFUNL_inference/nsize224/fgsm0/ncal0/arcface/inverseTriplet/prototypes_class/npos1/nneg1/protoagg_mean_1/normyes/dist_cosine/knn2/prototypes.pkl,logs/best_models/otitis_four_class/resnet18/otite_ds_64/USA_Turquie_Chili_GMFUNL_inference/nsize224/fgsm0/ncal0/arcface/inverseTriplet/prototypes_class/npos1/nneg1/protoagg_mean_1/normyes/dist_cosine/knn2/train_encodings.npz,logs/best_models/otitis_four_class/resnet18/otite_ds_64/USA_Turquie_Chili_GMFUNL_inference/nsize224/fgsm0/ncal0/arcface/inverseTriplet/prototypes_class/npos1/nneg1/protoagg_mean_1/normyes/dist_cosine/knn2/valid_encodings.npz,logs/best_models/otitis_four_class/resnet18/otite_ds_64/USA_Turquie_Chili_GMFUNL_inference/nsize224/fgsm0/ncal0/arcface/inverseTriplet/prototypes_class/npos1/nneg1/protoagg_mean_1/normyes/dist_cosine/knn2/test_encodings.npz,logs/otitis_four_class/58f4b729-f7f8-4c05-8518-324f4b13fffd,yes,,0.7241176770083,0.7241176770083,0.8283788433831744,0.6741864275928342,0.7771104080210083,0.8022727272727272,0.9462177190283079,0.9044421487603306,0.8793721303948576,0.9396268911353425,0.19789352434987934,0.395321375739314,baseline_naive_bayes,Naive Bayes,naive_bayes,0,baseline_naive_bayes,Naive Bayes,naive_bayes,0,"Banque_Calaman_USA_2020_trie_CM,Banque_Comert_Turquie_2020_jpg,GMFUNL_jan2023",Banque_Viscaino_Chili_2020,Banque_Viscaino_Chili_2020,"Banque_Calaman_USA_2020_trie_CM,Banque_Comert_Turquie_2020_jpg,GMFUNL_jan2023|Banque_Viscaino_Chili_2020|Banque_Viscaino_Chili_2020"
2390fa1441fa,otitis_four_class,resnet18,otite_ds_64/USA_Turquie_Chili_GMFUNL_inference,224,0,0,arcface,inverseTriplet,no,1,1,mean,1,yes,cosine,1,logs/best_models/otitis_four_class/resnet18/otite_ds_64/USA_Turquie_Chili_GMFUNL_inference/nsize224/fgsm0/ncal0/arcface/inverseTriplet/prototypes_no/npos1/nneg1/protoagg_mean_1/normyes/dist_cosine/knn1,logs/best_models/otitis_four_class/resnet18/otite_ds_64/USA_Turquie_Chili_GMFUNL_inference/nsize224/fgsm0/ncal0/arcface/inverseTriplet/prototypes_no/npos1/nneg1/protoagg_mean_1/normyes/dist_cosine/knn1/model.pth,logs/best_models/otitis_four_class/resnet18/otite_ds_64/USA_Turquie_Chili_GMFUNL_inference/nsize224/fgsm0/ncal0/arcface/inverseTriplet/prototypes_no/npos1/nneg1/protoagg_mean_1/normyes/dist_cosine/knn1/prototypes.pkl,logs/best_models/otitis_four_class/resnet18/otite_ds_64/USA_Turquie_Chili_GMFUNL_inference/nsize224/fgsm0/ncal0/arcface/inverseTriplet/prototypes_no/npos1/nneg1/protoagg_mean_1/normyes/dist_cosine/knn1/train_encodings.npz,logs/best_models/otitis_four_class/resnet18/otite_ds_64/USA_Turquie_Chili_GMFUNL_inference/nsize224/fgsm0/ncal0/arcface/inverseTriplet/prototypes_no/npos1/nneg1/protoagg_mean_1/normyes/dist_cosine/knn1/valid_encodings.npz,logs/best_models/otitis_four_class/resnet18/otite_ds_64/USA_Turquie_Chili_GMFUNL_inference/nsize224/fgsm0/ncal0/arcface/inverseTriplet/prototypes_no/npos1/nneg1/protoagg_mean_1/normyes/dist_cosine/knn1/test_encodings.npz,logs/otitis_four_class/f5b6f19d-a226-4cc5-91a0-450270de5c69,yes,,0.7270750574569337,0.7270750574569337,0.8611308116031319,0.6949043204375099,0.8373392484550483,0.825,0.9891972666879305,0.942465564738292,0.9255406336088154,0.9790505188886447,0.07665289256198346,0.28820435762584523,11,KNN (k=11),knn,2,11,KNN (k=11),knn,2,"Banque_Calaman_USA_2020_trie_CM,Banque_Comert_Turquie_2020_jpg,GMFUNL_jan2023",Banque_Viscaino_Chili_2020,Banque_Viscaino_Chili_2020,"Banque_Calaman_USA_2020_trie_CM,Banque_Comert_Turquie_2020_jpg,GMFUNL_jan2023|Banque_Viscaino_Chili_2020|Banque_Viscaino_Chili_2020"
bdfc76cc21e1,otitis_four_class,resnet18,otite_ds_64/USA_Turquie_Chili_GMFUNL_inference,224,0,0,arcface,inverseTriplet,no,1,1,mean,1,yes,cosine,7,logs/best_models/otitis_four_class/resnet18/otite_ds_64/USA_Turquie_Chili_GMFUNL_inference/nsize224/fgsm0/ncal0/arcface/inverseTriplet/prototypes_no/npos1/nneg1/protoagg_mean_1/normyes/dist_cosine/knn7,logs/best_models/otitis_four_class/resnet18/otite_ds_64/USA_Turquie_Chili_GMFUNL_inference/nsize224/fgsm0/ncal0/arcface/inverseTriplet/prototypes_no/npos1/nneg1/protoagg_mean_1/normyes/dist_cosine/knn7/model.pth,logs/best_models/otitis_four_class/resnet18/otite_ds_64/USA_Turquie_Chili_GMFUNL_inference/nsize224/fgsm0/ncal0/arcface/inverseTriplet/prototypes_no/npos1/nneg1/protoagg_mean_1/normyes/dist_cosine/knn7/prototypes.pkl,logs/best_models/otitis_four_class/resnet18/otite_ds_64/USA_Turquie_Chili_GMFUNL_inference/nsize224/fgsm0/ncal0/arcface/inverseTriplet/prototypes_no/npos1/nneg1/protoagg_mean_1/normyes/dist_cosine/knn7/train_encodings.npz,logs/best_models/otitis_four_class/resnet18/otite_ds_64/USA_Turquie_Chili_GMFUNL_inference/nsize224/fgsm0/ncal0/arcface/inverseTriplet/prototypes_no/npos1/nneg1/protoagg_mean_1/normyes/dist_cosine/knn7/valid_encodings.npz,logs/best_models/otitis_four_class/resnet18/otite_ds_64/USA_Turquie_Chili_GMFUNL_inference/nsize224/fgsm0/ncal0/arcface/inverseTriplet/prototypes_no/npos1/nneg1/protoagg_mean_1/normyes/dist_cosine/knn7/test_encodings.npz,logs/otitis_four_class/dfe66876-6ca4-4796-8d06-8c8438b14582,yes,,0.5585869068763524,0.5585869068763524,0.7296848771404594,0.5589747482963163,0.6912824810309582,0.6545454545454545,0.9576229222441963,0.91188246097337,0.9182024793388429,0.9336393873116673,0.22573623437627527,0.5975387608818397,baseline_lda,Linear Discriminant,lda,2,baseline_lda,Linear Discriminant,lda,2,"Banque_Calaman_USA_2020_trie_CM,Banque_Comert_Turquie_2020_jpg,GMFUNL_jan2023",Banque_Viscaino_Chili_2020,Banque_Viscaino_Chili_2020,"Banque_Calaman_USA_2020_trie_CM,Banque_Comert_Turquie_2020_jpg,GMFUNL_jan2023|Banque_Viscaino_Chili_2020|Banque_Viscaino_Chili_2020"
b9681e8ceb1b,otitis_four_class,resnet18,otite_ds_64/USA_Turquie_Chili_GMFUNL_inference,224,0,0,ce,inverseTriplet,no,1,1,mean,1,yes,cosine,1,logs/best_models/otitis_four_class/resnet18/otite_ds_64/USA_Turquie_Chili_GMFUNL_inference/nsize224/fgsm0/ncal0/ce/inverseTriplet/prototypes_no/npos1/nneg1/protoagg_mean_1/normyes/dist_cosine/knn1,logs/best_models/otitis_four_class/resnet18/otite_ds_64/USA_Turquie_Chili_GMFUNL_inference/nsize224/fgsm0/ncal0/ce/inverseTriplet/prototypes_no/npos1/nneg1/protoagg_mean_1/normyes/dist_cosine/knn1/model.pth,logs/best_models/otitis_four_class/resnet18/otite_ds_64/USA_Turquie_Chili_GMFUNL_inference/nsize224/fgsm0/ncal0/ce/inverseTriplet/prototypes_no/npos1/nneg1/protoagg_mean_1/normyes/dist_cosine/knn1/prototypes.pkl,logs/best_models/otitis_four_class/resnet18/otite_ds_64/USA_Turquie_Chili_GMFUNL_inference/nsize224/fgsm0/ncal0/ce/inverseTriplet/prototypes_no/npos1/nneg1/protoagg_mean_1/normyes/dist_cosine/knn1/train_encodings.npz,logs/best_models/otitis_four_class/resnet18/otite_ds_64/USA_Turquie_Chili_GMFUNL_inference/nsize224/fgsm0/ncal0/ce/inverseTriplet/prototypes_no/npos1/nneg1/protoagg_mean_1/normyes/dist_cosine/knn1/valid_encodings.npz,logs/best_models/otitis_four_class/resnet18/otite_ds_64/USA_Turquie_Chili_GMFUNL_inference/nsize224/fgsm0/ncal0/ce/inverseTriplet/prototypes_no/npos1/nneg1/protoagg_mean_1/normyes/dist_cosine/knn1/test_encodings.npz,logs/otitis_four_class/7ec53473-9aa5-4f7b-a12c-27e17e1b7d3d,yes,,0.7270750574569337,0.7270750574569337,0.8611308116031319,0.6949043204375099,0.8373392484550483,0.825,0.9891972666879305,0.942465564738292,0.9255406336088154,0.9790505188886447,0.07665289256198346,0.28820435762584523,11,KNN (k=11),knn,2,11,KNN (k=11),knn,2,"Banque_Calaman_USA_2020_trie_CM,Banque_Comert_Turquie_2020_jpg,GMFUNL_jan2023",Banque_Viscaino_Chili_2020,Banque_Viscaino_Chili_2020,"Banque_Calaman_USA_2020_trie_CM,Banque_Comert_Turquie_2020_jpg,GMFUNL_jan2023|Banque_Viscaino_Chili_2020|Banque_Viscaino_Chili_2020"
5225e38dd55d,otitis_four_class,resnet18,otite_ds_64/USA_Turquie_Chili_GMFUNL_inference,224,0,0,ce,inverseTriplet,no,1,1,mean,1,yes,cosine,7,logs/best_models/otitis_four_class/resnet18/otite_ds_64/USA_Turquie_Chili_GMFUNL_inference/nsize224/fgsm0/ncal0/ce/inverseTriplet/prototypes_no/npos1/nneg1/protoagg_mean_1/normyes/dist_cosine/knn7,logs/best_models/otitis_four_class/resnet18/otite_ds_64/USA_Turquie_Chili_GMFUNL_inference/nsize224/fgsm0/ncal0/ce/inverseTriplet/prototypes_no/npos1/nneg1/protoagg_mean_1/normyes/dist_cosine/knn7/model.pth,logs/best_models/otitis_four_class/resnet18/otite_ds_64/USA_Turquie_Chili_GMFUNL_inference/nsize224/fgsm0/ncal0/ce/inverseTriplet/prototypes_no/npos1/nneg1/protoagg_mean_1/normyes/dist_cosine/knn7/prototypes.pkl,logs/best_models/otitis_four_class/resnet18/otite_ds_64/USA_Turquie_Chili_GMFUNL_inference/nsize224/fgsm0/ncal0/ce/inverseTriplet/prototypes_no/npos1/nneg1/protoagg_mean_1/normyes/dist_cosine/knn7/train_encodings.npz,logs/best_models/otitis_four_class/resnet18/otite_ds_64/USA_Turquie_Chili_GMFUNL_inference/nsize224/fgsm0/ncal0/ce/inverseTriplet/prototypes_no/npos1/nneg1/protoagg_mean_1/normyes/dist_cosine/knn7/valid_encodings.npz,logs/best_models/otitis_four_class/resnet18/otite_ds_64/USA_Turquie_Chili_GMFUNL_inference/nsize224/fgsm0/ncal0/ce/inverseTriplet/prototypes_no/npos1/nneg1/protoagg_mean_1/normyes/dist_cosine/knn7/test_encodings.npz,logs/otitis_four_class/c1005f33-4fa1-4cd5-8570-bc0ad6c8ecc6,yes,,0.5585869068763524,0.5585869068763524,0.7296848771404594,0.5589747482963163,0.6912824810309582,0.6545454545454545,0.9576229222441963,0.91188246097337,0.9182024793388429,0.9336393873116673,0.22573623437627527,0.5975387608818397,baseline_lda,Linear Discriminant,lda,2,baseline_lda,Linear Discriminant,lda,2,"Banque_Calaman_USA_2020_trie_CM,Banque_Comert_Turquie_2020_jpg,GMFUNL_jan2023",Banque_Viscaino_Chili_2020,Banque_Viscaino_Chili_2020,"Banque_Calaman_USA_2020_trie_CM,Banque_Comert_Turquie_2020_jpg,GMFUNL_jan2023|Banque_Viscaino_Chili_2020|Banque_Viscaino_Chili_2020"
0958bf58f4f0,otitis_four_class,resnet18,otite_ds_64/USA_Turquie_Chili_GMFUNL_inference,224,0,0,hinge,inverseTriplet,no,1,1,mean,1,yes,cosine,1,logs/best_models/otitis_four_class/resnet18/otite_ds_64/USA_Turquie_Chili_GMFUNL_inference/nsize224/fgsm0/ncal0/hinge/inverseTriplet/prototypes_no/npos1/nneg1/protoagg_mean_1/normyes/dist_cosine/knn1,logs/best_models/otitis_four_class/resnet18/otite_ds_64/USA_Turquie_Chili_GMFUNL_inference/nsize224/fgsm0/ncal0/hinge/inverseTriplet/prototypes_no/npos1/nneg1/protoagg_mean_1/normyes/dist_cosine/knn1/model.pth,logs/best_models/otitis_four_class/resnet18/otite_ds_64/USA_Turquie_Chili_GMFUNL_inference/nsize224/fgsm0/ncal0/hinge/inverseTriplet/prototypes_no/npos1/nneg1/protoagg_mean_1/normyes/dist_cosine/knn1/prototypes.pkl,logs/best_models/otitis_four_class/resnet18/otite_ds_64/USA_Turquie_Chili_GMFUNL_inference/nsize224/fgsm0/ncal0/hinge/inverseTriplet/prototypes_no/npos1/nneg1/protoagg_mean_1/normyes/dist_cosine/knn1/train_encodings.npz,logs/best_models/otitis_four_class/resnet18/otite_ds_64/USA_Turquie_Chili_GMFUNL_inference/nsize224/fgsm0/ncal0/hinge/inverseTriplet/prototypes_no/npos1/nneg1/protoagg_mean_1/normyes/dist_cosine/knn1/valid_encodings.npz,logs/best_models/otitis_four_class/resnet18/otite_ds_64/USA_Turquie_Chili_GMFUNL_inference/nsize224/fgsm0/ncal0/hinge/inverseTriplet/prototypes_no/npos1/nneg1/protoagg_mean_1/normyes/dist_cosine/knn1/test_encodings.npz,logs/otitis_four_class/15e874ca-6e40-4c25-851b-b2dfc528318d,yes,,0.7270750574569337,0.7270750574569337,0.8611308116031319,0.6949043204375099,0.8373392484550483,0.825,0.9891972666879305,0.942465564738292,0.9255406336088154,0.9790505188886447,0.07665289256198346,0.28820435762584523,11,KNN (k=11),knn,2,11,KNN (k=11),knn,2,"Banque_Calaman_USA_2020_trie_CM,Banque_Comert_Turquie_2020_jpg,GMFUNL_jan2023",Banque_Viscaino_Chili_2020,Banque_Viscaino_Chili_2020,"Banque_Calaman_USA_2020_trie_CM,Banque_Comert_Turquie_2020_jpg,GMFUNL_jan2023|Banque_Viscaino_Chili_2020|Banque_Viscaino_Chili_2020"
510cc6a872cb,otitis_four_class,resnet18,otite_ds_64/USA_Turquie_Chili_GMFUNL_inference,224,0,0,hinge,inverseTriplet,no,1,1,mean,1,yes,cosine,7,logs/best_models/otitis_four_class/resnet18/otite_ds_64/USA_Turquie_Chili_GMFUNL_inference/nsize224/fgsm0/ncal0/hinge/inverseTriplet/prototypes_no/npos1/nneg1/protoagg_mean_1/normyes/dist_cosine/knn7,logs/best_models/otitis_four_class/resnet18/otite_ds_64/USA_Turquie_Chili_GMFUNL_inference/nsize224/fgsm0/ncal0/hinge/inverseTriplet/prototypes_no/npos1/nneg1/protoagg_mean_1/normyes/dist_cosine/knn7/model.pth,logs/best_models/otitis_four_class/resnet18/otite_ds_64/USA_Turquie_Chili_GMFUNL_inference/nsize224/fgsm0/ncal0/hinge/inverseTriplet/prototypes_no/npos1/nneg1/protoagg_mean_1/normyes/dist_cosine/knn7/prototypes.pkl,logs/best_models/otitis_four_class/resnet18/otite_ds_64/USA_Turquie_Chili_GMFUNL_inference/nsize224/fgsm0/ncal0/hinge/inverseTriplet/prototypes_no/npos1/nneg1/protoagg_mean_1/normyes/dist_cosine/knn7/train_encodings.npz,logs/best_models/otitis_four_class/resnet18/otite_ds_64/USA_Turquie_Chili_GMFUNL_inference/nsize224/fgsm0/ncal0/hinge/inverseTriplet/prototypes_no/npos1/nneg1/protoagg_mean_1/normyes/dist_cosine/knn7/valid_encodings.npz,logs/best_models/otitis_four_class/resnet18/otite_ds_64/USA_Turquie_Chili_GMFUNL_inference/nsize224/fgsm0/ncal0/hinge/inverseTriplet/prototypes_no/npos1/nneg1/protoagg_mean_1/normyes/dist_cosine/knn7/test_encodings.npz,logs/otitis_four_class/92123d93-4383-4f84-b9cb-57a5826df371,yes,,0.5585869068763524,0.5585869068763524,0.7296848771404594,0.5589747482963163,0.6912824810309582,0.6545454545454545,0.9576229222441963,0.91188246097337,0.9182024793388429,0.9336393873116673,0.22573623437627527,0.5975387608818397,baseline_lda,Linear Discriminant,lda,2,baseline_lda,Linear Discriminant,lda,2,"Banque_Calaman_USA_2020_trie_CM,Banque_Comert_Turquie_2020_jpg,GMFUNL_jan2023",Banque_Viscaino_Chili_2020,Banque_Viscaino_Chili_2020,"Banque_Calaman_USA_2020_trie_CM,Banque_Comert_Turquie_2020_jpg,GMFUNL_jan2023|Banque_Viscaino_Chili_2020|Banque_Viscaino_Chili_2020"
